Company,UDIDs
Accelerated Systems,0x0B1D
Nanoleq AG,0x0B1C
"Roca Sanitario, S.A.",0x0B1A
WBS PROJECT H PTY LTD,0x0B19
DECATHLON SE,0x0B18
"SIG SAUER, INC.",0x0B17
Guard RFID Solutions Inc.,0x0B16
NAOS JAPAN K.K.,0x0B15
Olumee,0x0B14
IOTOOLS,0x0B13
ToughBuilt Industries LLC,0x0B12
"ThermoWorks, Inc.",0x0B11
Alfa Laval Corporate AB,0x0B10
B.E.A. S.A.,0x0B0F
Minebea Access Solutions Inc.,0x0B0E
"SANYO DENKO Co.,Ltd.",0x0B0D
BluPeak,0x0B0C
Sanistaal A/S,0x0B0B
Belun Technology Company Limited,0x0B0A
"Shenzhen Qianfenyi Intelligent Technology Co., LTD",0x0B08
Workaround Gmbh,0x0B07
FAZUA GmbH,0x0B06
Marquardt GmbH,0x0B05
Precision Triathlon Systems Limited,0x0B03
IORA Technology Development Ltd. Sti.,0x0B02
"RESIDEO TECHNOLOGIES, INC.",0x0B01
Flaircomm Microelectronics Inc.,0x0B00
FUSEAWARE LIMITED,0x0AFF
"Earda Technologies Co.,Ltd",0x0AFE
"Weber Sensors, LLC",0x0AFD
Cerebrum Sensor Technologies Inc.,0x0AFC
SMT ELEKTRONIK GmbH,0x0AFB
"Chengdu Ambit Technology Co., Ltd.",0x0AFA
Unisto AG,0x0AF9
First Design System Inc.,0x0AF8
Irdeto,0x0AF7
"AMETEK, Inc.",0x0AF6
Unitech Electronic Inc.,0x0AF5
Radioworks Microelectronics PTY LTD,0x0AF4
701x Inc.,0x0AF3
"Shanghai All Link Microelectronics Co.,Ltd",0x0AF2
"CRADERS,CO.,LTD",0x0AF1
"Leupold & Stevens, Inc.",0x0AF0
GLP German Light Products GmbH,0x0AEF
"Velentium, LLC",0x0AEE
Saxonar GmbH,0x0AED
"FUTEK ADVANCED SENSOR TECHNOLOGY, INC",0x0AEC
"Square, Inc.",0x0AEB
Borda Technology,0x0AEA
FLIR Systems AB,0x0AE9
"LEVEL, s.r.o.",0x0AE8
"Sunplus Technology Co., Ltd.",0x0AE7
Hexology,0x0AE6
unu GmbH,0x0AE5
DALI Alliance,0x0AE4
GlobalMed,0x0AE3
Douglas Dynamics L.L.C.,0x0ADF
"Vocera Communications, Inc.",0x0ADE
Boss Audio,0x0ADD
Duravit AG,0x0ADC
"Reelables, Inc.",0x0ADB
Codefabrik GmbH,0x0ADA
Franz Kaldewei GmbH&Co KG,0x0AD8
AL-KO Geraete GmbH,0x0AD7
nymea GmbH,0x0AD6
Streamit B.V.,0x0AD5
"Zhuhai Pantum Electronisc Co., Ltd",0x0AD4
SSV Software Systems GmbH,0x0AD3
Lautsprecher Teufel GmbH,0x0AD2
EAGLE KINGDOM TECHNOLOGIES LIMITED,0x0AD1
Nordic Strong ApS,0x0AD0
CACI Technologies,0x0ACF
"KOBATA GAUGE MFG. CO., LTD.",0x0ACE
Visuallex Sport International Limited,0x0ACD
Nuvoton,0x0ACC
ise Individuelle Software und Elektronik GmbH,0x0ACB
"Shenzhen CoolKit Technology Co., Ltd",0x0ACA
Swedlock AB,0x0AC9
"Keepin Co., Ltd.",0x0AC8
"Chengdu Aich Technology Co.,Ltd",0x0AC7
Barnes Group Inc.,0x0AC6
Flexoptix GmbH,0x0AC5
CODIUM,0x0AC4
"Kenzen, Inc.",0x0AC3
RealMega Microelectronics technology (Shanghai) Co. Ltd.,0x0AC2
"Shenzhen Jingxun Technology Co., Ltd.",0x0AC1
"Omni-ID USA, INC.",0x0AC0
PAUL HARTMANN AG,0x0ABF
"Robkoo Information & Technologies Co., Ltd.",0x0ABE
Inventas AS,0x0ABD
"KCCS Mobile Engineering Co., Ltd.",0x0ABC
"R-DAS, s.r.o.",0x0ABB
Open Bionics Ltd.,0x0ABA
STL,0x0AB9
Sens.ai Incorporated,0x0AB8
LogTag North America Inc.,0x0AB7
"Xenter, Inc.",0x0AB6
Elstat Electronics Ltd.,0x0AB5
"Ellenby Technologies, Inc.",0x0AB4
INNER RANGE PTY. LTD.,0x0AB3
"TouchTronics, Inc.",0x0AB2
InVue Security Products Inc,0x0AB1
Visiontronic s.r.o.,0x0AB0
AIAIAI ApS,0x0AAF
"PS Engineering, Inc.",0x0AAE
Adevo Consulting AB,0x0AAD
OSM HK Limited,0x0AAC
Anhui Listenai Co,0x0AAB
Computime International Ltd,0x0AAA
"Spintly, Inc.",0x0AA9
Zencontrol Pty Ltd,0x0AA8
Urbanista AB,0x0AA7
"Realityworks, inc.",0x0AA6
"Shenzhen Uascent Technology Co., Ltd",0x0AA5
FAZEPRO LLC,0x0AA4
DIC Corporation,0x0AA3
"Care Bloom, LLC",0x0AA2
LINCOGN TECHNOLOGY CO. LIMITED,0x0AA1
Loy Tec electronics GmbH,0x0AA0
ista International GmbH,0x0A9F
Canon Finetech Nisca Inc.,0x0A9D
"Xi'an Fengyu Information Technology Co., Ltd.",0x0A9C
Eello LLC,0x0A9B
"TEMKIN ASSOCIATES, LLC",0x0A9A
"Shanghai high-flying electronics technology Co.,Ltd",0x0A99
"Foil, Inc.",0x0A98
Pamex Inc.,0x0A95
OOBIK Inc.,0x0A94
GiPStech S.r.l.,0x0A93
Carestream Dental LLC,0x0A92
Monarch International Inc.,0x0A91
"Shenzhen Grandsun Electronic Co.,Ltd.",0x0A90
TOTO LTD.,0x0A8F
Perfect Company,0x0A8E
JCM TECHNOLOGIES S.A.,0x0A8D
"DelpSys, s.r.o.",0x0A8C
SANlight GmbH,0x0A8B
HAINBUCH GMBH SPANNENDE TECHNIK,0x0A8A
VusionGroup,0x0A89
PSA Peugeot Citroen,0x0A88
"Shanghai Smart System Technology Co., Ltd",0x0A87
ALIZENT International,0x0A86
"Snowball Technology Co., Ltd.",0x0A85
"Greennote Inc,",0x0A84
"Rivata, Inc.",0x0A83
Corsair,0x0A82
Universal Biosensors Pty Ltd,0x0A81
Cleer Limited,0x0A80
Intuity Medical,0x0A7F
KEBA Handover Automation GmbH,0x0A7E
Freedman Electronics Pty Ltd,0x0A7D
WAFERLOCK,0x0A7C
UniqAir Oy,0x0A7B
Emlid Limited,0x0A7A
Webasto SE,0x0A79
Shenzhen Sunricher Technology Limited,0x0A78
AXTRO PTE. LTD.,0x0A77
Synaptics Incorporated,0x0A76
Delta Cycle Corporation,0x0A75
MICROSON S.A.,0x0A74
Innohome Oy,0x0A73
Jumo GmbH & Co. KG,0x0A72
Senquip Pty Ltd,0x0A71
Ooma,0x0A70
Warner Bros.,0x0A6F
Pac Sane Limited,0x0A6E
"KUUKANJYOKIN Co.,Ltd.",0x0A6D
Pokkels,0x0A6C
"Olympic Ophthalmics, Inc.",0x0A6B
Scribble Design Inc.,0x0A6A
"HAPPIEST BABY, INC.",0x0A69
Focus Ingenieria SRL,0x0A68
Beijing SuperHexa Century Technology CO. Ltd,0x0A67
"Lytx, INC.",0x0A65
Geopal system A/S,0x0A64
MOKO TECHNOLOGY Ltd,0x0A62
Smart Parks B.V.,0x0A61
"DATANG SEMICONDUCTOR TECHNOLOGY CO.,LTD",0x0A60
stryker,0x0A5F
MG Energy Systems B.V.,0x0A5D
Innovative Design Labs Inc.,0x0A5C
LEGIC Identsystems AG,0x0A5B
Sontheim Industrie Elektronik GmbH,0x0A5A
"TourBuilt, LLC",0x0A59
Indigo Diabetes,0x0A58
"Meizhou Guo Wei Electronics Co., Ltd",0x0A57
ambie,0x0A56
Inugo Systems Limited,0x0A55
SQL Technologies Corp.,0x0A54
KKM COMPANY LIMITED,0x0A53
Follow Sense Europe B.V.,0x0A52
CSIRO,0x0A51
Nextscape Inc.,0x0A50
VANMOOF Global Holding B.V.,0x0A4F
Toytec Corporation,0x0A4E
Lockn Technologies Private Limited,0x0A4D
SiFli Technologies (shanghai) Inc.,0x0A4C
MistyWest Energy and Transport Ltd.,0x0A4B
"Map Large, Inc.",0x0A4A
JRC Mobility Inc.,0x0A48
The Wand Company Ltd,0x0A47
Beijing HC-Infinite Technology Limited,0x0A46
"3SI Security Systems, Inc",0x0A45
"Novidan, Inc.",0x0A44
Busch Systems International Inc.,0x0A43
"Motionalysis, Inc.",0x0A42
OPEX Corporation,0x0A41
"Shenzhen Yopeak Optoelectronics Technology Co., Ltd.",0x0A3F
DELABIE,0x0A3D
Siteco GmbH,0x0A3C
Galileo Technology Limited,0x0A3B
Incotex Co. Ltd.,0x0A3A
BLUETICKETING SRL,0x0A39
"Bouffalo Lab (Nanjing)., Ltd.",0x0A38
2587702 Ontario Inc.,0x0A37
"NGK SPARK PLUG CO., LTD.",0x0A36
safectory GmbH,0x0A35
Luxer Corporation,0x0A34
WMF AG,0x0A33
"Pinnacle Technology, Inc.",0x0A32
Nevro Corp.,0x0A31
Air-Weigh,0x0A30
"Instamic, Inc.",0x0A2F
"Shenzhen Feasycom Technology Co., Ltd.",0x0A2D
"Shenzhen H&T Intelligent Control Co., Ltd",0x0A2C
PaceBait IVS,0x0A2B
Yamaha Corporation,0x0A2A
"Worthcloud Technology Co.,Ltd",0x0A29
NanoFlex Power Corporation,0x0A28
Louis Vuitton,0x0A26
Eran Financial Services LLC,0x0A25
"Atmosic Technologies, Inc.",0x0A24
"BIXOLON CO.,LTD",0x0A23
"DAIICHIKOSHO CO., LTD.",0x0A22
Apollogic Sp. z o.o.,0x0A21
"Jiangxi Innotech Technology Co., Ltd",0x0A20
DeVilbiss Healthcare LLC,0x0A1F
CombiQ AB,0x0A1E
API-K,0x0A1D
INPEAK S.C.,0x0A1C
Embrava Pty Ltd,0x0A1B
"Link Labs, Inc.",0x0A1A
"Maxell, Ltd.",0x0A19
Cambridge Animal Technologies Ltd,0x0A18
Plume Design Inc,0x0A17
RIDE VISION LTD,0x0A16
Syng Inc,0x0A15
"CROXEL, INC.",0x0A14
Tec4med LifeScience GmbH,0x0A13
Dyson Technology Limited,0x0A12
Sensolus,0x0A11
SUBARU Corporation,0x0A10
LIXIL Corporation,0x0A0F
Roland Corporation,0x0A0E
Blue Peacock GmbH,0x0A0D
"Shanghai Yidian Intelligent Technology Co., Ltd.",0x0A0C
SIANA Systems,0x0A0B
Volan Technology Inc.,0x0A0A
Oras Oy,0x0A08
Reflow Pty Ltd,0x0A07
"Shanghai wuqi microelectronics Co.,Ltd",0x0A06
"Southwire Company, LLC",0x0A05
Flosonics Medical,0x0A04
"donutrobotics Co., Ltd.",0x0A03
Ayxon-Dynamics GmbH,0x0A02
Cleveron AS,0x0A01
Ampler Bikes OU,0x0A00
AIRSTAR,0x09FF
Lichtvision Engineering GmbH,0x09FE
Confidex,0x09FC
"TOITU CO., LTD.",0x09FB
Listen Technologies Corporation,0x09FA
Hangzhou Yaguan Technology Co. LTD,0x09F9
R.O. S.R.L.,0x09F8
"SENSATEC Co., Ltd.",0x09F7
Mobile Action Technology Inc.,0x09F6
"OKI Electric Industry Co., Ltd",0x09F5
"Spectrum Technologies, Inc.",0x09F4
"Beijing Zero Zero Infinity Technology Co.,Ltd.",0x09F3
Audeara Pty Ltd,0x09F2
OM Digital Solutions Corporation,0x09F1
WatchGas B.V.,0x09F0
Steinel Solutions AG,0x09EF
OJMAR SA,0x09EE
Sibel Inc.,0x09ED
"Yukon advanced optics worldwide, UAB",0x09EC
KEAN ELECTRONICS PTY LTD,0x09EB
Athlos Oy,0x09EA
LumenRadio AB,0x09E9
Melange Systems Pvt. Ltd.,0x09E8
Kabushikigaisha HANERON,0x09E7
Masonite Corporation,0x09E6
Mobilogix,0x09E5
CPS AS,0x09E4
Friday Home Aps,0x09E3
Tag-N-Trac Inc,0x09E1
Magnus Technology Sdn Bhd,0x09DF
"JLD Technology Solutions, LLC",0x09DE
Innoware Development AB,0x09DD
Bionic Avionics Inc.,0x09DB
Nagravision SA,0x09DA
VivoSensMedical GmbH,0x09D9
Synergy Tecnologia em Sistemas Ltda,0x09D8
Coyotta,0x09D7
EAR TEKNIK ISITME VE ODIOMETRI CIHAZLARI SANAYI VE TICARET ANONIM SIRKETI,0x09D6
GEAR RADIO ELECTRONICS CORP.,0x09D5
ORBIS Inc.,0x09D4
Temperature Sensitive Solutions Systems Sweden AB,0x09D2
ABLEPAY TECHNOLOGIES AS,0x09D1
Chess Wise B.V.,0x09D0
"BlueStreak IoT, LLC",0x09CF
Julius Blum GmbH,0x09CE
Senso4s d.o.o.,0x09CC
"Hx Engineering, LLC",0x09CB
Mobitrace,0x09CA
CrowdGlow Ltd,0x09C9
XUNTONG,0x09C8
"Combustion, LLC",0x09C7
"Honor Device Co., Ltd.",0x09C6
"HungYi Microelectronics Co.,Ltd.",0x09C5
UVISIO,0x09C4
JAPAN TOBACCO INC.,0x09C3
"Universal Audio, Inc.",0x09C2
Rosewill,0x09C1
AnotherBrain inc.,0x09C0
"Span.IO, Inc.",0x09BF
Vessel Ltd.,0x09BE
Centre Suisse d'Electronique et de Microtechnique SA,0x09BD
Aerosens LLC,0x09BC
SkyStream Corporation,0x09BB
Elimo Engineering Ltd,0x09BA
SAVOY ELECTRONIC LIGHTING,0x09B9
PlayerData Limited,0x09B8
"Bout Labs, LLC",0x09B7
"Pegasus Technologies, Inc.",0x09B6
AUTEC Gesellschaft fuer Automationstechnik mbH,0x09B5
PentaLock Aps.,0x09B4
BlueX Microelectronics Corp Ltd.,0x09B3
DYPHI,0x09B2
BLINQY,0x09B1
"Deublin Company, LLC",0x09B0
ifLink Open Community,0x09AF
Pozyx NV,0x09AE
Narhwall Inc.,0x09AD
Ambiq,0x09AC
"DashLogic, Inc.",0x09AB
PHOTODYNAMIC INCORPORATED,0x09AA
"Nippon Ceramic Co.,Ltd.",0x09A9
KHN Solutions LLC,0x09A8
Paybuddy ApS,0x09A7
"BEIJING ELECTRIC VEHICLE CO.,LTD",0x09A6
"Security Enhancement Systems, LLC",0x09A5
"KUMHO ELECTRICS, INC",0x09A4
ARDUINO SA,0x09A3
ENGAGENOW DATA SCIENCES PRIVATE LIMITED,0x09A2
"VOS Systems, LLC",0x09A1
"Proof Diagnostics, Inc.",0x09A0
"Koya Medical, Inc.",0x099F
Step One Limited,0x099E
YKK AP Inc.,0x099D
deister electronic GmbH,0x099C
Sendum Wireless Corporation,0x099B
New Audio LLC,0x099A
eTactica ehf,0x0999
"Pixie Dust Technologies, Inc.",0x0998
NextMind,0x0997
C. & E. Fein GmbH,0x0996
Bronkhorst High-Tech B.V.,0x0995
VT42 Pty Ltd,0x0994
Absolute Audio Labs B.V.,0x0993
Big Kaiser Precision Tooling Ltd,0x0992
Telenor ASA,0x0991
Anton Paar GmbH,0x0990
Aktiebolaget Regin,0x098F
ADVEEZ,0x098E
bGrid B.V.,0x098C
"Mequonic Engineering, S.L.",0x098B
Biovigil,0x098A
WIKA Alexander Wiegand SE & Co.KG,0x0989
BHM-Tech Produktionsgesellschaft m.b.H,0x0988
"TSE BRAKES, INC.",0x0987
"Cello Hill, LLC",0x0986
Lumos Health Inc.,0x0985
TeraTron GmbH,0x0984
Feedback Sports LLC,0x0983
ELPRO-BUCHS AG,0x0982
Bernard Krone Holding SE & Co.KG,0x0981
"DEKRA TESTING AND CERTIFICATION, S.A.U.",0x0980
ISEMAR S.R.L.,0x097F
SonicSensory Inc,0x097E
CLB B.V.,0x097D
"Thorley Industries, LLC",0x097C
CTEK Sweden AB,0x097B
CORE CORPORATION,0x097A
BIOTRONIK SE & Co. KG,0x0979
ZifferEins GmbH & Co. KG,0x0978
TOYOTA motor corporation,0x0977
Fauna Audio GmbH,0x0976
"BlueIOT(Beijing) Technology Co.,Ltd",0x0975
ABEYE,0x0974
Popit Oy,0x0973
GA,0x0971
IBA Dosimetry GmbH,0x0970
"Band Industries, inc.",0x096E
"Gunwerks, LLC",0x096D
Guide ID B.V.,0x096B
"dricos, Inc.",0x096A
"Woan Technology (Shenzhen) Co., Ltd.",0x0969
"Actev Motors, Inc.",0x0968
Neo Materials and Consulting Inc.,0x0967
"PointGuard, LLC",0x0966
Asahi Kasei Corporation,0x0965
Countrymate Technology Limited,0x0964
Moonbird BV,0x0963
GL Solutions K.K.,0x0962
Linkura AB,0x0961
Sena Technologies Inc.,0x0960
NUANCE HEARING LTD,0x095F
BioEchoNet inc.,0x095E
Electronic Theatre Controls,0x095D
"LogiLube, LLC",0x095C
Lismore Instruments Limited,0x095B
"HerdDogg, Inc",0x0959
ZTE Corporation,0x0958
Ohsung Electronics,0x0957
Kerlink,0x0956
Breville Group,0x0955
Julbo,0x0954
"LogiLube, LLC",0x0953
Apptricity Corporation,0x0952
PPRS,0x0951
Capetech,0x0950
"Limited Liability Company ""Mikrotikls""",0x094F
"PassiveBolt, Inc.",0x094E
tkLABS INC.,0x094D
GimmiSys GmbH,0x094C
Kindeva Drug Delivery L.P.,0x094B
"Zwift, Inc.",0x094A
Metronom Health Europe,0x0949
Wearable Link Limited,0x0948
First Light Technologies Ltd.,0x0947
AMC International Alfa Metalcraft Corporation AG,0x0946
"Globe (Jiangsu) Co., Ltd",0x0945
Agitron d.o.o.,0x0944
TRANSSION HOLDINGS LIMITED,0x0942
"Rivian Automotive, LLC",0x0941
Hero Workout GmbH,0x0940
JEPICO Corporation,0x093F
"Catalyft Labs, Inc.",0x093E
Adolf Wuerth GmbH & Co KG,0x093D
Xenoma Inc.,0x093C
ENSESO LLC,0x093B
"LinkedSemi Microelectronics (Xiamen) Co., Ltd",0x093A
"ASTEM Co.,Ltd.",0x0939
"Henway Technologies, LTD.",0x0938
RealThingks GmbH,0x0937
Elekon AG,0x0936
"Reconnect, Inc.",0x0935
KiteSpring Inc.,0x0934
SRAM,0x0933
"BREATHINGS Co., Ltd.",0x0931
James Walker RotaBolt Limited,0x0930
C.O.B.O. SpA,0x092F
PS GmbH,0x092E
"Leggett & Platt, Incorporated",0x092D
PCI Private Limited,0x092C
TekHome,0x092B
Sappl Verwaltungs- und Betriebs GmbH,0x092A
"Qingdao Haier Technology Co., Ltd.",0x0929
AiRISTA,0x0928
ROOQ GmbH,0x0927
Gooligum Technologies Pty Ltd,0x0926
Yukai Engineering Inc.,0x0925
Fundacion Tecnalia Research and Innovation,0x0924
JSB TECH PTE LTD,0x0923
"Shanghai MXCHIP Information Technology Co., Ltd.",0x0922
KAHA PTE. LTD.,0x0921
Myzee Technology,0x091F
"Melbot Studios, Sociedad Limitada",0x091E
"Innokind, Inc.",0x091D
Oblamatik AG,0x091C
"Luminostics, Inc.",0x091B
Albertronic BV,0x091A
NO SMD LIMITED,0x0919
Technosphere Labs Pvt. Ltd.,0x0918
"ASR Microelectronics(ShenZhen)Co., Ltd.",0x0917
Ambient Sensors LLC,0x0916
"Honda Motor Co., Ltd.",0x0915
INEO-SENSE,0x0914
"Braveheart Wireless, Inc.",0x0913
Nerbio Medical Software Platforms Inc,0x0912
Douglas Lighting Controls Inc.,0x0911
"ASR Microelectronics (Shanghai) Co., Ltd.",0x0910
VC Inc.,0x090F
OPTIMUSIOT TECH LLP,0x090E
IOT Invent GmbH,0x090D
"Radiawave Technologies Co.,Ltd.",0x090C
"EMBR labs, INC",0x090B
"Zhuhai Hoksi Technology CO.,LTD",0x090A
"70mai Co.,Ltd.",0x0909
Pinpoint Innovations Limited,0x0908
"User Hello, LLC",0x0907
Scope Logistical Solutions,0x0906
Yandex Services AG,0x0905
SUNCORPORATION,0x0904
"DATAMARS, Inc.",0x0903
"TSC Auto-ID Technology Co., Ltd.",0x0902
Lucimed,0x0901
"Beijing Zizai Technology Co., LTD.",0x0900
"Plastimold Products, Inc",0x08FF
Ketronixs Sdn Bhd,0x08FE
"BioIntelliSense, Inc.",0x08FD
Hill-Rom,0x08FC
Darkglass Electronics Oy,0x08FB
Spacelabs Medical Inc.,0x08F9
instagrid GmbH,0x08F8
MTD Products Inc & Affiliates,0x08F7
Dermal Photonics Corporation,0x08F6
Tymtix Technologies Private Limited,0x08F5
Kodimo Technologies Company Limited,0x08F4
PSP - Pauli Services & Products GmbH,0x08F3
Microoled,0x08F2
The L.S. Starrett Company,0x08F1
"Joovv, Inc.",0x08F0
"Cumulus Digital Systems, Inc",0x08EF
Askey Computer Corp.,0x08EE
IMI Hydronic Engineering International SA,0x08ED
Denso Corporation,0x08EC
"Beijing Big Moment Technology Co., Ltd.",0x08EB
"COWBELL ENGINEERING CO.,LTD.",0x08EA
Taiwan Intelligent Home Corp.,0x08E9
Naonext,0x08E8
"Barrot Technology Co.,Ltd.",0x08E7
Eneso Tecnologia de Adaptacion S.L.,0x08E6
Crowd Connected Ltd,0x08E5
Rashidov ltd,0x08E4
"Republic Wireless, Inc.",0x08E3
Shenzhen Simo Technology co. LTD,0x08E2
KOZO KEIKAKU ENGINEERING Inc.,0x08E1
Philia Technology,0x08E0
"IRIS OHYAMA CO.,LTD.",0x08DF
TE Connectivity Corporation,0x08DE
code-Q,0x08DD
"SHENZHEN AUKEY E BUSINESS CO., LTD",0x08DC
Tertium Technology,0x08DB
Miridia Technology Incorporated,0x08DA
Pointr Labs Limited,0x08D9
WARES,0x08D8
Inovonics Corp,0x08D7
KEYes,0x08D5
"ADATA Technology Co., LTD.",0x08D4
"Novel Bits, LLC",0x08D3
Virscient Limited,0x08D2
Sensovium Inc.,0x08D1
ESTOM Infotech Kft.,0x08D0
betternotstealmybike UG (with limited liability),0x08CF
ZIMI CORPORATION,0x08CE
ifly,0x08CD
"TGM TECHNOLOGY CO., LTD.",0x08CC
JT INNOVATIONS LIMITED,0x08CB
"Nubia Technology Co.,Ltd.",0x08CA
Noventa AG,0x08C9
Liteboxer Technologies Inc.,0x08C8
Monadnock Systems Ltd.,0x08C7
J. Wagner GmbH,0x08C5
CHIPOLO d.o.o.,0x08C3
Lindinvent AB,0x08C2
Rayden.Earth LTD,0x08C1
Accent Advanced Systems SLU,0x08C0
"SIRC Co., Ltd.",0x08BF
ubisys technologies GmbH,0x08BE
bf1systems limited,0x08BD
Prevayl Limited,0x08BC
"Tokai-rika co.,ltd.",0x08BB
"HYPER ICE, INC.",0x08BA
U-Shin Ltd.,0x08B9
Check Technology Solutions LLC,0x08B8
ABB Inc,0x08B7
Boehringer Ingelheim Vetmedica GmbH,0x08B6
"Sengled Co., Ltd.",0x08B4
IONIQ Skincare GmbH & Co. KG,0x08B3
PF SCHWEISSTECHNOLOGIE GMBH,0x08B2
CORE|vision BV,0x08B1
Trivedi Advanced Technologies LLC,0x08B0
Polidea Sp. z o.o.,0x08AF
Moticon ReGo AG,0x08AE
Kayamatics Limited,0x08AD
Topre Corporation,0x08AC
"Coburn Technology, LLC",0x08AB
"SZ DJI TECHNOLOGY CO.,LTD",0x08AA
Fraunhofer IIS,0x08A9
Shanghai Kfcube Inc,0x08A8
TGR 1.618 Limited,0x08A7
Intelligenceworks Inc.,0x08A6
"Realme Chongqing Mobile Telecommunications Corp., Ltd.",0x08A4
Hoffmann SE,0x08A3
"Epic Systems Co., Ltd.",0x08A2
EXEO TECH CORPORATION,0x08A1
Aclara Technologies LLC,0x08A0
Witschi Electronic Ltd,0x089F
"i-SENS, inc.",0x089E
J-J.A.D.E. Enterprise LLC,0x089D
Embedded Devices Co. Company,0x089C
Saucon Technologies,0x089B
"Private limited company ""Teltonika""",0x089A
SFS unimarket AG,0x0899
Current Lighting Solutions LLC,0x0897
Nokian Renkaat Oyj,0x0896
Gimer medical,0x0895
EPIFIT,0x0894
Maytronics Ltd,0x0893
Ingenieurbuero Birnfeld UG (haftungsbeschraenkt),0x0892
SmartWireless GmbH & Co. KG,0x0891
"NICHIEI INTEC CO., LTD.",0x0890
Tait International Limited,0x088F
Soliton Systems K.K.,0x088D
"GB Solution co.,Ltd",0x088C
Tricorder Arraay Technologies LLC,0x088B
sclak s.r.l.,0x088A
XANTHIO,0x0889
EnPointe Fencing Pty Ltd,0x0888
Hydro-Gear Limited Partnership,0x0887
Movella Technologies B.V.,0x0886
"Controlid Industria, Comercio de Hardware e Servicos de Tecnologia Ltda",0x0884
Wintersteiger AG,0x0883
"PSYONIC, Inc.",0x0882
Optalert,0x0881
imagiLabs AB,0x0880
Phillips Connect Technologies LLC,0x087F
1bar.net Limited,0x087E
Konftel AB,0x087D
Crosscan GmbH,0x087C
BYSTAMP,0x087B
"ZRF, LLC",0x087A
MIZUNO Corporation,0x0879
"The Chamberlain Group, Inc.",0x0878
Valtech,0x0877
SmartResQ ApS,0x0876
Berner International LLC,0x0875
Treegreen Limited,0x0874
Innophase Incorporated,0x0873
11 Health & Technologies Limited,0x0872
Dension Elektronikai Kft.,0x0871
"Wyze Labs, Inc",0x0870
Trackunit A/S,0x086F
Vorwerk Elektrowerke GmbH & Co. KG,0x086E
Biometrika d.o.o.,0x086D
"Revvo Technologies, Inc.",0x086C
"Pacific Track, LLC",0x086B
Odic Incorporated,0x086A
EVVA Sicherheitstechnologie GmbH,0x0869
WIOsense GmbH & Co. KG,0x0868
"Western Digital Techologies, Inc.",0x0867
"LAONZ Co.,Ltd",0x0866
Emergency Lighting Products Limited,0x0865
Rafaelmicro,0x0864
"Yo-tronics Technology Co., Ltd.",0x0863
SmartDrive,0x0862
SmartSensor Labs Ltd,0x0861
Alflex Products B.V.,0x0860
Krog Systems LLC,0x085E
"Guilin Zhishen Information Technology Co.,Ltd.",0x085D
"ACOS CO.,LTD.",0x085C
Nisshinbo Micro Devices Inc.,0x085B
DAKATECH,0x085A
BlueUp,0x0859
SOUNDBOKS,0x0858
Parsyl Inc,0x0857
Canopy Growth Corporation,0x0856
"Helios Sports, Inc.",0x0855
Tap Sound System,0x0854
Pektron Group Limited,0x0853
"Cognosos, Inc.",0x0852
"Subeca, Inc.",0x0851
"Yealink (Xiamen) Network Technology Co.,LTD",0x0850
Embedded Fitness B.V.,0x084F
Carol Cole Company,0x084E
SafePort,0x084D
ORSO Inc.,0x084C
Biotechware SRL,0x084B
ARCOM,0x084A
Dopple Technologies B.V.,0x0849
JUJU JOINTS CANADA CORP.,0x0848
DNANUDGE LIMITED,0x0847
USound GmbH,0x0846
Dometic Corporation,0x0845
Pepperl + Fuchs GmbH,0x0844
FRAGRANCE DELIVERY TECHNOLOGIES LTD,0x0843
"Tangshan HongJia electronic technology co., LTD.",0x0842
"General Luminaire (Shanghai) Co., Ltd.",0x0841
Down Range Systems LLC,0x0840
D-Link Corp.,0x083F
Zorachka LTD,0x083E
"Tokenize, Inc.",0x083D
BeerTech LTD,0x083C
Piaggio Fast Forward,0x083B
BPW Bergische Achsen Kommanditgesellschaft,0x083A
A puissance 3,0x0839
"Etymotic Research, Inc.",0x0838
"vivo Mobile Communication Co., Ltd.",0x0837
Bitwards Oy,0x0836
Canopy Growth Corporation,0x0835
"RIKEN KEIKI CO., LTD.,",0x0834
Conneqtech B.V.,0x0833
"Intermotive,Inc.",0x0832
"Foxble, LLC",0x0831
Blippit AB,0x082F
ABB S.p.A.,0x082E
INCUS PERFORMANCE LTD.,0x082D
"INGICS TECHNOLOGY CO., LTD.",0x082C
"shenzhen fitcare electronics Co.,Ltd",0x082B
Mitutoyo Corporation,0x082A
HEXAGON METROLOGY DIVISION ROMER,0x0829
"Shanghai Suisheng Information Technology Co., Ltd.",0x0828
Kickmaker,0x0827
Hyundai Motor Company,0x0826
CME PTE. LTD.,0x0825
8Power Limited,0x0824
Nexite Ltd,0x0823
adafruit industries,0x0822
"INOVA Geophysical, Inc.",0x0821
"Brilliant Home Technology, Inc.",0x0820
eSenseLab LTD,0x081F
iNFORM Technology GmbH,0x081E
Potrykus Holdings and Development LLC,0x081D
"Bobrick Washroom Equipment, Inc.",0x081C
DIM3,0x081B
Shenzhen Conex,0x081A
Hunter Douglas Inc,0x0819
tatwah SA,0x0818
Wangs Alliance Corporation,0x0817
SPICA SYSTEMS LLC,0x0816
SKC Inc,0x0815
Ossur hf.,0x0814
Flextronics International USA Inc.,0x0813
"Mstream Technologies., Inc.",0x0812
Becker Antriebe GmbH,0x0811
LECO Corporation,0x0810
